run_id,experiment_name,experiment_prefix,dataset,model_architecture,pipeline_method,pipeline_kind,status,lifecycle_stage,is_child_run,start_time_iso,end_time_iso,evidence_duration_seconds,evidence_duration_hours,duration_source,overhead_category
284bc90da1fc44028f243bafee7d036f,improv-10-BeijingAir_Tiantan,improv-10,BeijingAir_Tiantan,ModernTCN,f2f,pretrain_finetune,FAILED,active,false,2026-03-14T01:32:26.159000+00:00,2026-03-14T14:01:13.125000+00:00,44926.966,12.479713,raw_span,improv-10_active_failed
66c6deee8f464dfb8a4541758858aa2a,improv-10-BeijingAir_Tiantan,improv-10,BeijingAir_Tiantan,GRU,f2f,pretrain_finetune,FAILED,active,false,2026-03-14T05:04:55.036000+00:00,2026-03-14T14:01:12.812000+00:00,32177.776,8.938271,raw_span,improv-10_active_failed
df83260d06c74c29880b28e13fee81cc,improv-10-BeijingAir_Tiantan,improv-10,BeijingAir_Tiantan,Mamba,baseline,train,FAILED,active,false,2026-03-14T10:24:42.764000+00:00,2026-03-14T10:24:44.851000+00:00,2.087,0.000580,raw_span,improv-10_active_failed
aa58a8c00f97451b8a94fdf9db8c50ec,improv-10-BeijingAir_Tiantan,improv-10,BeijingAir_Tiantan,DLinear,baseline,train,FINISHED,active,false,2026-03-12T16:08:54.639000+00:00,2026-03-18T13:00:43.243000+00:00,93.695,0.026026,metric:ep_val_loss,improv-10_active_finished
9add4d014bf1418b9a8dd6b23466c8b6,improv-10-BeijingAir_Tiantan,improv-10,BeijingAir_Tiantan,TSMixer,baseline,train,FINISHED,active,false,2026-03-12T16:08:55.984000+00:00,2026-03-12T16:11:13.367000+00:00,136.746,0.037985,metric:ep_val_loss,improv-10_active_finished
a34b4fdbde3c4a6a8726d25dc19e4831,improv-10-BeijingAir_Tiantan,improv-10,BeijingAir_Tiantan,SeasonalNaive,baseline,train,FINISHED,active,false,2026-03-12T16:08:57.145000+00:00,2026-03-12T16:09:23.416000+00:00,26.06,0.007239,metric:ep_val_loss,improv-10_active_finished
5087ff8f20f64ec3be1676f6c9925be1,improv-10-BeijingAir_Tiantan,improv-10,BeijingAir_Tiantan,GRU,baseline,train,FINISHED,active,false,2026-03-12T16:08:58.037000+00:00,2026-03-12T16:11:38.806000+00:00,160.383,0.044551,metric:ep_val_loss,improv-10_active_finished
d959b731e56a4687ae11072c61c5928d,improv-10-BeijingAir_Tiantan,improv-10,BeijingAir_Tiantan,SeasonalNaive,baseline,train,FINISHED,active,false,2026-03-12T16:09:23.819000+00:00,2026-03-19T00:32:52.129000+00:00,24.47,0.006797,metric:ep_val_loss,improv-10_active_finished
9c6c102eb28d463994673d3ed73b1a97,improv-10-BeijingAir_Tiantan,improv-10,BeijingAir_Tiantan,SeasonalNaive,baseline,train,FINISHED,active,false,2026-03-12T16:09:48.577000+00:00,2026-03-12T16:10:14.762000+00:00,26.039,0.007233,metric:ep_val_loss,improv-10_active_finished
c7a03881deb34c1fb7ec78260519f102,improv-10-BeijingAir_Tiantan,improv-10,BeijingAir_Tiantan,SeasonalNaive,baseline,train,FINISHED,active,false,2026-03-12T16:10:14.913000+00:00,2026-03-12T16:10:38.727000+00:00,23.644,0.006568,metric:ep_val_loss,improv-10_active_finished
fcbe0c3039cb4e1a80be04c928d9fc4b,improv-10-BeijingAir_Tiantan,improv-10,BeijingAir_Tiantan,DLinear,baseline,train,FINISHED,active,false,2026-03-12T16:10:29.010000+00:00,2026-03-12T16:12:03.019000+00:00,93.798,0.026055,metric:ep_val_loss,improv-10_active_finished
3a21694180144613bda48ead79b08f7c,improv-10-BeijingAir_Tiantan,improv-10,BeijingAir_Tiantan,SeasonalNaive,baseline,train,FINISHED,active,false,2026-03-12T16:10:39.173000+00:00,2026-03-12T16:11:03.938000+00:00,24.488,0.006802,metric:ep_val_loss,improv-10_active_finished
592ba6efaacc477887981eaa0f6f6b16,improv-10-BeijingAir_Tiantan,improv-10,BeijingAir_Tiantan,SeasonalNaive,baseline,train,FINISHED,active,false,2026-03-12T16:11:04.319000+00:00,2026-03-12T16:11:28.708000+00:00,24.028,0.006674,metric:ep_val_loss,improv-10_active_finished
981ce156187c4e81a2b871e895658bea,improv-10-BeijingAir_Tiantan,improv-10,BeijingAir_Tiantan,TSMixer,baseline,train,FINISHED,active,false,2026-03-12T16:11:13.570000+00:00,2026-03-12T16:13:49.210000+00:00,155.352,0.043153,metric:ep_val_loss,improv-10_active_finished
a49565b39f3043b99cc793a5919d1bfd,improv-10-BeijingAir_Tiantan,improv-10,BeijingAir_Tiantan,SeasonalNaive,baseline,train,FINISHED,active,false,2026-03-12T16:11:29.121000+00:00,2026-03-12T16:11:53.812000+00:00,24.097,0.006694,metric:ep_val_loss,improv-10_active_finished
678f066eb6614f4f9eb6df120964b9e2,improv-10-BeijingAir_Tiantan,improv-10,BeijingAir_Tiantan,GRU,baseline,train,FINISHED,active,false,2026-03-12T16:11:39.017000+00:00,2026-03-12T16:15:08.308000+00:00,208.724,0.057979,metric:ep_val_loss,improv-10_active_finished
733d2ddbb75641f291b6f3563c7fb474,improv-10-BeijingAir_Tiantan,improv-10,BeijingAir_Tiantan,SeasonalNaive,baseline,train,FINISHED,active,false,2026-03-12T16:11:54.277000+00:00,2026-03-12T16:12:17.898000+00:00,23.367,0.006491,metric:ep_val_loss,improv-10_active_finished
8ed1814b59ab4f8890040a2945bdcf97,improv-10-BeijingAir_Tiantan,improv-10,BeijingAir_Tiantan,DLinear,baseline,train,FINISHED,active,false,2026-03-12T16:12:03.509000+00:00,2026-03-12T16:17:20.280000+00:00,316.534,0.087926,metric:ep_val_loss,improv-10_active_finished
ed088ff03dd948e680f5a93cad8399dc,improv-10-BeijingAir_Tiantan,improv-10,BeijingAir_Tiantan,SeasonalNaive,baseline,train,FINISHED,active,false,2026-03-12T16:12:18.506000+00:00,2026-03-12T16:12:45.154000+00:00,26.506,0.007363,metric:ep_val_loss,improv-10_active_finished
a43c1f1573f541fa829bf28b361a21ee,improv-10-BeijingAir_Tiantan,improv-10,BeijingAir_Tiantan,SeasonalNaive,baseline,train,FINISHED,active,false,2026-03-12T16:12:45.398000+00:00,2026-03-12T16:13:13.702000+00:00,27.806,0.007724,metric:ep_val_loss,improv-10_active_finished
c69a11bb4eb04dc58adf1fbef560a0fd,improv-10-BeijingAir_Tiantan,improv-10,BeijingAir_Tiantan,TSMixer,baseline,train,FINISHED,active,false,2026-03-12T16:13:49.529000+00:00,2026-03-12T16:14:38.221000+00:00,48.176,0.013382,metric:ep_val_loss,improv-10_active_finished
0f4dfd48ea5e4d479853642be0151248,improv-10-BeijingAir_Tiantan,improv-10,BeijingAir_Tiantan,TSMixer,baseline,train,FINISHED,active,false,2026-03-12T16:14:38.613000+00:00,2026-03-12T16:15:29.411000+00:00,50.586,0.014052,metric:ep_val_loss,improv-10_active_finished
0307071d042b4da6b29def9001e7f095,improv-10-BeijingAir_Tiantan,improv-10,BeijingAir_Tiantan,PatchTST,baseline,train,FINISHED,active,false,2026-03-12T16:14:47.091000+00:00,2026-03-12T16:19:46.195000+00:00,298.607,0.082946,metric:ep_val_loss,improv-10_active_finished
fabd5c9b766643b38b77e641ec77300d,improv-10-BeijingAir_Tiantan,improv-10,BeijingAir_Tiantan,GRU,baseline,train,FINISHED,active,false,2026-03-12T16:15:08.812000+00:00,2026-03-12T16:18:04.873000+00:00,175.838,0.048844,metric:ep_val_loss,improv-10_active_finished
b5fb2a4507fc4043858bf811779b9a94,improv-10-BeijingAir_Tiantan,improv-10,BeijingAir_Tiantan,TSMixer,baseline,train,FINISHED,active,false,2026-03-12T16:15:29.713000+00:00,2026-03-12T16:18:35.805000+00:00,185.662,0.051573,metric:ep_val_loss,improv-10_active_finished
e32773a65fdc417087afac384d6d5b32,improv-10-BeijingAir_Tiantan,improv-10,BeijingAir_Tiantan,DLinear,baseline,train,FINISHED,active,false,2026-03-12T16:17:20.415000+00:00,2026-03-12T16:23:09.301000+00:00,348.632,0.096842,metric:ep_val_loss,improv-10_active_finished
6d3ffee6fd0640248791b92e1fff6f4d,improv-10-BeijingAir_Tiantan,improv-10,BeijingAir_Tiantan,GRU,baseline,train,FINISHED,active,false,2026-03-12T16:18:05.200000+00:00,2026-03-12T16:18:51.704000+00:00,45.775,0.012715,metric:ep_val_loss,improv-10_active_finished
faa3b2efb1074bb1aec203f1b2dddd58,improv-10-BeijingAir_Tiantan,improv-10,BeijingAir_Tiantan,TSMixer,baseline,train,FINISHED,active,false,2026-03-12T16:18:36.103000+00:00,2026-03-12T16:19:15.259000+00:00,38.918,0.010811,metric:ep_val_loss,improv-10_active_finished
5841e3167110412f83907a50621296ad,improv-10-BeijingAir_Tiantan,improv-10,BeijingAir_Tiantan,GRU,baseline,train,FINISHED,active,false,2026-03-12T16:18:52.011000+00:00,2026-03-12T16:20:29.369000+00:00,96.983,0.026940,metric:ep_val_loss,improv-10_active_finished
6f765a0893844be49d701d297e978851,improv-10-BeijingAir_Tiantan,improv-10,BeijingAir_Tiantan,TSMixer,baseline,train,FINISHED,active,false,2026-03-12T16:19:15.600000+00:00,2026-03-12T16:20:43.901000+00:00,87.791,0.024386,metric:ep_val_loss,improv-10_active_finished
23f70ac601db44a4aa5858eb52a6ed74,improv-10-BeijingAir_Tiantan,improv-10,BeijingAir_Tiantan,PatchTST,baseline,train,FINISHED,active,false,2026-03-12T16:19:46.507000+00:00,2026-03-12T16:25:15.964000+00:00,328.902,0.091362,metric:ep_val_loss,improv-10_active_finished
0613d40ee519430fa5bb026f25deb9c1,improv-10-BeijingAir_Tiantan,improv-10,BeijingAir_Tiantan,GRU,baseline,train,FINISHED,active,false,2026-03-12T16:20:30.025000+00:00,2026-03-12T16:21:12.307000+00:00,41.76,0.011600,metric:ep_val_loss,improv-10_active_finished
2be0c60688d14921b0747faa9f7d2d0b,improv-10-BeijingAir_Tiantan,improv-10,BeijingAir_Tiantan,TSMixer,baseline,train,FINISHED,active,false,2026-03-12T16:20:44.155000+00:00,2026-03-12T16:21:34.211000+00:00,49.741,0.013817,metric:ep_val_loss,improv-10_active_finished
9b85cd5c3b5c4b728194a5376357320c,improv-10-BeijingAir_Tiantan,improv-10,BeijingAir_Tiantan,GRU,baseline,train,FINISHED,active,false,2026-03-12T16:21:12.909000+00:00,2026-03-12T16:22:08.413000+00:00,54.816,0.015227,metric:ep_val_loss,improv-10_active_finished
475f1a579f524cdd930a6dbb8fe51093,improv-10-BeijingAir_Tiantan,improv-10,BeijingAir_Tiantan,TSMixer,baseline,train,FINISHED,active,false,2026-03-12T16:21:34.485000+00:00,2026-03-12T16:22:07.706000+00:00,32.971,0.009159,metric:ep_val_loss,improv-10_active_finished
7f1d2bb8d0d84c0e98e8b2df54fb3e49,improv-10-BeijingAir_Tiantan,improv-10,BeijingAir_Tiantan,TSMixer,baseline,train,FINISHED,active,false,2026-03-12T16:22:08.221000+00:00,2026-03-12T16:24:01.009000+00:00,112.445,0.031235,metric:ep_val_loss,improv-10_active_finished
d1eac228ddbd4ff59beedfa0c07b2880,improv-10-BeijingAir_Tiantan,improv-10,BeijingAir_Tiantan,GRU,baseline,train,FINISHED,active,false,2026-03-12T16:22:08.703000+00:00,2026-03-12T16:24:18.200000+00:00,128.775,0.035771,metric:ep_val_loss,improv-10_active_finished
d0fd21bca2bf42ccbc6546de4048e592,improv-10-BeijingAir_Tiantan,improv-10,BeijingAir_Tiantan,DLinear,baseline,train,FINISHED,active,false,2026-03-12T16:23:09.437000+00:00,2026-03-12T16:24:07.313000+00:00,57.666,0.016018,metric:ep_val_loss,improv-10_active_finished
