run_id,experiment_name,dataset,model_architecture,pipeline_method,pipeline_id,pipeline_kind,status,lifecycle_stage,start_time_iso,end_time_iso,evidence_duration_seconds,evidence_duration_hours,duration_source,data_config_signature,signature,best_model,backbone_current,tested,ledger_category
b3e7b9a229724d3cab077d959057c670,improv-11-BeijingAir_Tiantan,BeijingAir_Tiantan,Chronos2,baseline,baseline,train,FINISHED,active,2026-03-23T16:23:36.341000+00:00,2026-05-01T21:45:33.606000+00:00,139.001,0.038611,metric:MSE_val->degradation/MSE/scenario/7/err_pert_CI_hi,4c5e0908fb1a9097c1bed37a3c29e849947e6fbd5828b63bc6ba2909525a5089,8471a811d76f0a178ebe7176f7affa820329f39673e20f52cda4fb7665abcceb,true,true,true,testing_current_winner
06a4a44316734fe4b0a2320a5e9c8ac0,improv-11-BeijingAir_Tiantan,BeijingAir_Tiantan,DLinear,adaptive_robust_loss,arl_alo0.001_ainit1.9_slo0.001_sinit0.1,train,FINISHED,active,2026-04-03T07:37:47.987000+00:00,2026-05-01T21:47:55.436000+00:00,7.718,0.002144,metric:MSE_val->degradation/MSE/scenario/7/err_pert_CI_hi,4c5e0908fb1a9097c1bed37a3c29e849947e6fbd5828b63bc6ba2909525a5089,d6d81a74af546aa6b7eb3a1fa9fde6e8d78a7be4771401d834834f0ae32e52e5,true,true,true,testing_current_winner
a25afb6afae14c079aa7a573a25da968,improv-11-BeijingAir_Tiantan,BeijingAir_Tiantan,DLinear,adversarial_training,advtrain_eps0.05_steps3_alpha0.02_channelsall,train,FINISHED,active,2026-03-26T13:05:58.473000+00:00,2026-05-01T21:48:05.812000+00:00,7.824,0.002173,metric:MSE_val->degradation/MSE/scenario/7/err_pert_CI_hi,4c5e0908fb1a9097c1bed37a3c29e849947e6fbd5828b63bc6ba2909525a5089,0e1f3f1178fdd54de9e2266a4c06b2456bf9f282597da5a44d466e92ca471f14,true,true,true,testing_current_winner
e765a57955e6486ca3ea08dd793c8c4b,improv-11-BeijingAir_Tiantan,BeijingAir_Tiantan,DLinear,baseline,baseline,train,FINISHED,active,2026-03-14T18:58:28.085000+00:00,2026-05-01T21:48:16.341000+00:00,7.889,0.002191,metric:MSE_val->degradation/MSE/scenario/7/err_pert_CI_hi,4c5e0908fb1a9097c1bed37a3c29e849947e6fbd5828b63bc6ba2909525a5089,f046ec3db255e5faacbdebf0b23b57cb722db3f70792a117226fe195fa356066,true,true,true,testing_current_winner
bf2cdbef5c834ef3aa8106834079827a,improv-11-BeijingAir_Tiantan,BeijingAir_Tiantan,DLinear,ensemble,ensemble_top10_mean,wrap,FINISHED,active,2026-04-23T20:29:07.167000+00:00,2026-05-01T21:48:28.517000+00:00,14.841,0.004122,metric:MSE_val->degradation/MSE/scenario/7/err_pert_CI_hi,4c5e0908fb1a9097c1bed37a3c29e849947e6fbd5828b63bc6ba2909525a5089,,true,true,true,testing_current_winner
62c610bd88bc4766a4880fb809d3f45d,improv-11-BeijingAir_Tiantan,BeijingAir_Tiantan,DLinear,fault_augmentation,fa_profholdout_simple_mix1.0_sev1.0_frac0.25,train,FINISHED,active,2026-04-18T17:27:30.282000+00:00,2026-05-01T21:48:46.070000+00:00,8.186,0.002274,metric:MSE_val->degradation/MSE/scenario/7/err_pert_CI_hi,4c5e0908fb1a9097c1bed37a3c29e849947e6fbd5828b63bc6ba2909525a5089,601f7f28e7241bb70c01706a4cf8c65c28adf28afa0098b5788d0217edf629ef,true,true,true,testing_current_winner
b5e0ca11d169491caef03e3501299c11,improv-11-BeijingAir_Tiantan,BeijingAir_Tiantan,DLinear,randomized_smoothing,rs_backbonebaseline_std0.25_samples30_alpha0.25,wrap,FINISHED,active,2026-04-23T20:30:22.057000+00:00,2026-05-01T21:48:57.677000+00:00,25.513,0.007087,metric:MSE_val->degradation/MSE/scenario/7/err_pert_CI_hi,4c5e0908fb1a9097c1bed37a3c29e849947e6fbd5828b63bc6ba2909525a5089,,true,true,true,testing_current_winner
95629275d08b42c1babe91f2ed0dbe24,improv-11-BeijingAir_Tiantan,BeijingAir_Tiantan,DLinear,randomized_training,rt_spaceraw_std0.1_channelscontinuous,train,FINISHED,active,2026-03-23T19:07:01.731000+00:00,2026-05-01T21:49:25.474000+00:00,7.742,0.002151,metric:MSE_val->degradation/MSE/scenario/7/err_pert_CI_hi,4c5e0908fb1a9097c1bed37a3c29e849947e6fbd5828b63bc6ba2909525a5089,c2f083558fceba45b6cda6bdc13a50173791b46aa13fce887c66382a7ddcb3a3,true,true,true,testing_current_winner
e00d9e58ff9040eb9156864264bc53c9,improv-11-BeijingAir_Tiantan,BeijingAir_Tiantan,DLinear,revin,revin_affineFalse_eps1e-5,train,FINISHED,active,2026-03-14T19:51:05.697000+00:00,2026-05-01T21:49:35.958000+00:00,7.951,0.002209,metric:MSE_val->degradation/MSE/scenario/7/err_pert_CI_hi,4c5e0908fb1a9097c1bed37a3c29e849947e6fbd5828b63bc6ba2909525a5089,a84f20491234af2efe64386142940a8777d7bcf42c7790d288385b0437549efb,true,true,true,testing_current_winner
3e96e701a1b843b58e28e227e798802a,improv-11-BeijingAir_Tiantan,BeijingAir_Tiantan,GRU,adaptive_robust_loss,arl_alo0.001_ainit1.0_slo1e-05_sinit0.1,train,FINISHED,active,2026-04-03T10:32:48.354000+00:00,2026-05-01T21:49:46.534000+00:00,9.622,0.002673,metric:MSE_val->degradation/MSE/scenario/7/err_pert_CI_hi,4c5e0908fb1a9097c1bed37a3c29e849947e6fbd5828b63bc6ba2909525a5089,87343dee868b9ea193bfc5ce74ce53904e9a327dc177093570d0f6c1b09cdadf,true,true,true,testing_current_winner
