,dataset,robustness_method,count,MSE_pert_ws_val_mean,MSE_pert_ws_val_std,MSE_pert_mean_val_mean,MSE_pert_mean_val_std,MSE_test_mean,MSE_test_std,perturbation_scenarios_count_mean,perturbation_scenarios_count_std,D_w_mean,D_w_std,D_w_CI_lo_mean,D_w_CI_lo_std,D_w_CI_hi_mean,D_w_CI_hi_std,D_mean_mean,D_mean_std,D_mean_CI_lo_mean,D_mean_CI_lo_std,D_mean_CI_hi_mean,D_mean_CI_hi_std,err_pert_ws_mean,err_pert_ws_std,err_pert_ws_CI_lo_mean,err_pert_ws_CI_lo_std,err_pert_ws_CI_hi_mean,err_pert_ws_CI_hi_std,err_pert_mean_mean,err_pert_mean_std,err_pert_mean_CI_lo_mean,err_pert_mean_CI_lo_std,err_pert_mean_CI_hi_mean,err_pert_mean_CI_hi_std,MSE_w_mean,MSE_w_std,n_test_samples_mean,n_test_samples_std,mCE_snaive_mean,mCE_snaive_std,relative_mCE_snaive_mean,relative_mCE_snaive_std,mPC_mean,mPC_std,rPC_mean,rPC_std,rho_eff_mean,rho_eff_std,worst_scenario_labels
0,BeijingAir_Tiantan,adaptive_robust_loss,5,0.3337590487035816,0.06502873061737147,0.24375874630128852,0.019188260718420683,0.32295073901866417,0.01746381498312794,8.0,0.0,1.3578530539000238,0.1295846550849077,1.3175782909541245,0.11763965976741438,1.40205011058127,0.13668667196044124,1.1524135213238478,0.03301404272896327,1.1359433620286543,0.029898792983003752,1.1715935744393873,0.03747493887834438,0.4382557059680618,0.045403418713306394,0.41518640028494486,0.043991733094362225,0.46391225305626627,0.04605855179683149,0.37214291171162367,0.022241915785034306,0.3516304153802242,0.021586425772011184,0.3955916055179278,0.023160606025640417,0.4382557059680618,0.045403418713306394,10000.0,0.0,0.922050911230793,0.05451776500153782,0.9226849540065702,0.05545180665829271,0.37214291171162367,0.022241915785034306,0.8683226037080212,0.025251379790244558,-0.0018768803878732143,0.010903683855556501,"attenuation,noise"
1,BeijingAir_Tiantan,adversarial_training,5,0.29526900230282915,0.03084638696660053,0.23875371203838536,0.01454907704453811,0.3258566543392054,0.0208178297135219,8.0,0.0,1.2456016401850953,0.060366647491212996,1.2165947973369255,0.05385387002138005,1.2846745731843634,0.06941848235367896,1.1156264361582853,0.02527980690476439,1.1033417154049072,0.024273372811526476,1.1306288662528314,0.027130856244491464,0.40558777092767617,0.02749597961415938,0.3834628657145324,0.026012391781959254,0.4321332331605737,0.02855481339452792,0.36339345504820136,0.02192892310847969,0.3434544285065753,0.021308279714003685,0.3859411809242667,0.022880282562759625,0.40558777092767617,0.02749597961415938,10000.0,0.0,0.902549435796062,0.05431095399905973,0.9007087292939749,0.05427283093880135,0.36339345504820136,0.02192892310847969,0.8967354876817151,0.02085880572235946,0.009688625749929158,0.008126600123810546,"attenuation,noise"
2,BeijingAir_Tiantan,ensemble,5,,,,,0.31247360198556506,0.01840894892354656,8.0,0.0,1.3893381194543974,0.17368687918123324,1.3448215064142233,0.16110267075967377,1.4360224771478258,0.1827218810679433,1.1555521821034733,0.04706921686490086,1.1393548197311116,0.04298271797629623,1.1743201936459058,0.05168002537850406,0.4346513299966161,0.06491501782652997,0.4121421962039177,0.06358938574132689,0.4588696124708517,0.06566503906502051,0.36115356251822395,0.0273252744050009,0.34191281554173714,0.02634217430493406,0.38310481546129216,0.028571353399729025,0.4346513299966161,0.06491501782652997,10000.0,0.0,0.8940300757386007,0.06509274282013212,0.8947623813853243,0.0668701302633794,0.36115356251822395,0.0273252744050009,0.8665625957344378,0.036087927559426185,-0.001162012396082135,0.015591614092108562,"attenuation,noise"
3,BeijingAir_Tiantan,fault_augmentation,5,0.3310312652137276,0.0759298899454609,0.24215774314889799,0.019018801122156946,0.32636906542442157,0.024089387927668123,8.0,0.0,1.3431705991298821,0.18073119208073374,1.3048956836303027,0.16401787849556151,1.3842317194696363,0.1895615068108104,1.137822501517412,0.052674343926785064,1.1230368827127706,0.04872356337713254,1.1548603481705952,0.057194201109050304,0.43699178940303385,0.05598771795137227,0.41502926267046397,0.0539922769253229,0.46100740346841373,0.05654027796406376,0.3708428933798486,0.023792828883617098,0.3508849067503907,0.023188154750215573,0.3935634652502831,0.024423257349020632,0.43699178940303385,0.05598771795137227,10000.0,0.0,0.9189454269665014,0.05783913351787214,0.9183720373470651,0.05823245865338604,0.3708428933798486,0.023792828883617098,0.880433499894839,0.042194994601021794,0.002715049470771025,0.016466592565580737,"attenuation,noise"
4,BeijingAir_Tiantan,randomized_smoothing,5,,,,,0.3231750848749318,0.02774446838967845,8.0,0.0,1.3828366923172113,0.18600996913675608,1.3393552667882829,0.17156445287155878,1.4309999735753698,0.19364488190350954,1.148823273695517,0.0530526957308037,1.132956101267121,0.04846785329627556,1.166884443279422,0.058314225576461653,0.4467371974260101,0.06972799396925847,0.42462855195623517,0.06718847036310918,0.47207436864250985,0.06972926401013055,0.37105993865119735,0.03299678277569027,0.35116916334470094,0.032072219593523014,0.39330332540938495,0.03435906465503751,0.4467371974260101,0.06972799396925847,10000.0,0.0,0.918801568192011,0.07985160048274488,0.9190251739307955,0.0808916512675249,0.37105993865119735,0.03299678277569027,0.8719789687117245,0.04125066383813008,-0.000658977254966131,0.017497320437688216,"attenuation,noise"
5,BeijingAir_Tiantan,randomized_training,5,0.31247401957737747,0.04787229549112435,0.2614812100795777,0.03459442539841457,0.34733699737063845,0.06748767683650128,8.0,0.0,1.2359510880376292,0.07314904538644311,1.2065387196869062,0.06724209671603093,1.2733180643832698,0.08160563403265968,1.107053161546156,0.033371325744266433,1.0957985876157972,0.03152204086410213,1.120706198640835,0.036029935742376014,0.42589350892163325,0.057457859315709604,0.4042919531789567,0.05758001821923177,0.45193108166361046,0.056757371486929734,0.38320191476225696,0.06411432663316734,0.36291809064936753,0.06274630237627504,0.40565162405883043,0.06513060629079022,0.42589350892163325,0.057457859315709604,10000.0,0.0,0.9526410070892256,0.1598571921953878,0.9498652357675139,0.15712075976020787,0.38320191476225696,0.06411432663316734,0.9039706943173528,0.02785973653350663,0.01013056241920427,0.007838257633324065,"attenuation,noise"
6,BeijingAir_Tiantan,revin,4,0.35173832312786635,0.041609535312482494,0.26547934219432634,0.002851257721645102,0.3226298348104283,0.015107269851495533,8.0,0.0,1.4363279892930083,0.04061559832894402,1.3784767827129496,0.03886519627713454,1.5005547041140352,0.05112929174327338,1.1713957722061696,0.017264787450018727,1.154257219651382,0.015848800277079383,1.191944937040176,0.01939388645261069,0.4630044776801651,0.012664141425013436,0.4370824763099221,0.014867829760306808,0.49176394663984935,0.010263690752735623,0.3777989038079586,0.014719701703468742,0.3579268844565175,0.014515269252101195,0.4008902082686657,0.01585075717186012,0.4630044776801651,0.012664141425013436,10000.0,0.0,0.9377063989331372,0.03417163806267341,0.9399956218914005,0.03329371290332936,0.3777989038079586,0.014719701703468742,0.8538227484495193,0.01269356954642991,-0.007830034243409306,0.004365234469028653,"noise,stuck_sensor"
7,ETTh1,adaptive_robust_loss,5,0.4622975980440776,0.045180623803608995,0.4331008141389738,0.05297214057470617,0.5268399774211645,0.13183318332322677,8.0,0.0,1.2030277992030762,0.1016486144578013,1.194525726218035,0.09831877597112669,1.2121901340196708,0.10523068423475661,1.0914224540489605,0.0587034566787,1.089255160262225,0.05806085225825559,1.0936854954797481,0.059321882312038256,0.6244767509165406,0.10189908392430999,0.6186375172324106,0.10194359762790148,0.6302784921184406,0.10197434946864588,0.5691675519773922,0.10687115905434597,0.5650944681857037,0.10650883297986216,0.5731090160033654,0.10699554636063835,0.6244767509165406,0.10189908392430999,10000.0,0.0,0.7845996715356439,0.14860925839900455,0.7804706788203075,0.1431659789533256,0.5691675519773922,0.10687115905434597,0.9184408100808723,0.051304131859200366,0.015063341004781816,0.020286882773675404,"attenuation,stuck_sensor"
8,ETTh1,adversarial_training,5,0.43905084454615906,0.03768679526761314,0.4102321942399566,0.04317349178611505,0.48861897324591874,0.0819231091796627,8.0,0.0,1.2024717957317324,0.09021980183787519,1.1943027794605934,0.08755842585785147,1.2111001910327108,0.09281551323699859,1.0981229698317099,0.05016922747794897,1.0962241834974147,0.049563815628257096,1.1000414753535996,0.0508177514845811,0.5821705741801858,0.05316369510130296,0.5768579698680341,0.053468372745464246,0.5874534751893132,0.05294134921639371,0.5335450485780742,0.06369943715435065,0.5297580252200041,0.06352719475011438,0.5372709236231804,0.06366958548218393,0.5821705741801858,0.05316369510130296,10000.0,0.0,0.7353688440833654,0.08818672537121855,0.7322675738131389,0.08442392079991634,0.5335450485780742,0.06369943715435065,0.9122042583233221,0.04270422177764894,0.014430405391359324,0.01779726401437725,"missing_data,stuck_sensor"
9,ETTh1,ensemble,5,,,,,0.48951397744238373,0.09378253305456506,8.0,0.0,1.1977902438324608,0.08959080852998837,1.1901129622749684,0.08662353581061734,1.2062489175498705,0.09220991137816999,1.0978905524395675,0.0516261901627566,1.095999526097818,0.05100525291649828,1.0998849677598495,0.052341224012106245,0.5802901681910455,0.06657050033350122,0.5752027038840316,0.06647358984974695,0.5855394951827787,0.06639326280290654,0.5338085781900119,0.07458354566561723,0.5300829295693443,0.07448975882754821,0.5374910279039414,0.0745233296975514,0.5802901681910455,0.06657050033350122,10000.0,0.0,0.735769393622107,0.10309164253794924,0.73257365585979,0.09891435371469334,0.5338085781900119,0.07458354566561723,0.9124966955462563,0.04413999989193446,0.014846036921757233,0.017450704582629362,"missing_data,stuck_sensor"
